Run		xav		zav		Q2av		hmsp		shmsp		W2		 pt               pt2       feynmanx
6172		0.435		0.602		3.785		5.929		2.798		5.857		0.141		0.024		2.324
6179		0.435		0.501		3.789		5.932		2.325		5.848		0.119		0.017		1.933
6180		0.435		0.501		3.787		5.930		2.325		5.852		0.119		0.017		1.932
6181		0.435		0.502		3.786		5.928		2.333		5.858		0.118		0.017		1.937
6182		0.434		0.503		3.783		5.928		2.336		5.861		0.119		0.017		1.939
6183		0.435		0.403		3.787		5.929		1.870		5.855		0.095		0.011		1.554
6184		0.435		0.404		3.790		5.929		1.875		5.852		0.096		0.011		1.558
6185		0.436		0.403		3.790		5.933		1.869		5.843		0.096		0.011		1.554
6186		0.435		0.403		3.786		5.931		1.870		5.852		0.096		0.011		1.554
6187		0.435		0.403		3.787		5.931		1.870		5.852		0.096		0.011		1.554
6194		0.436		0.694		4.624		4.922		3.927		6.907		0.153		0.029		2.999
6195		0.437		0.693		4.632		4.924		3.924		6.896		0.153		0.029		3.000
6196		0.437		0.707		4.638		4.923		4.002		6.891		0.154		0.030		3.060
6197		0.436		0.602		4.634		4.919		3.410		6.902		0.133		0.022		2.604
6198		0.436		0.596		4.627		4.921		3.377		6.906		0.132		0.022		2.579
6199		0.436		0.597		4.629		4.921		3.378		6.903		0.132		0.022		2.580
6205		0.436		0.500		4.625		4.921		2.828		6.908		0.111		0.015		2.160
6208		0.436		0.500		4.625		4.924		2.828		6.903		0.111		0.015		2.160
6209		0.435		0.499		4.623		4.921		2.827		6.911		0.111		0.015		2.158
6210		0.436		0.500		4.629		4.921		2.829		6.904		0.110		0.015		2.161
6211		0.435		0.502		4.625		4.919		2.841		6.911		0.112		0.016		2.168
6212		0.436		0.501		4.635		4.920		2.837		6.901		0.110		0.015		2.167
6213		0.437		0.403		4.635		4.923		2.279		6.895		0.088		0.010		1.741
6214		0.436		0.403		4.634		4.919		2.281		6.903		0.089		0.010		1.742
6215		0.436		0.403		4.627		4.922		2.280		6.905		0.090		0.010		1.742
6216		0.436		0.403		4.627		4.921		2.279		6.907		0.090		0.010		1.740
6217		0.436		0.403		4.624		4.921		2.278		6.909		0.090		0.010		1.739
6219		0.436		0.403		4.625		4.921		2.278		6.909		0.089		0.010		1.739
6220		0.435		0.403		4.623		4.921		2.278		6.910		0.090		0.010		1.739
6242		0.436		0.709		4.624		4.922		4.014		6.907		0.152		0.029		3.064
6243		0.437		0.707		4.634		4.924		4.005		6.894		0.152		0.029		3.061
6244		0.437		0.707		4.642		4.922		4.005		6.890		0.154		0.029		3.062
6245		0.436		0.697		4.628		4.923		3.945		6.901		0.153		0.029		3.014
6246		0.436		0.696		4.628		4.921		3.944		6.905		0.153		0.029		3.012
6247		0.436		0.696		4.625		4.921		3.942		6.908		0.153		0.029		3.010
6248		0.436		0.597		4.624		4.922		3.380		6.908		0.132		0.022		2.581
6249		0.435		0.597		4.623		4.921		3.379		6.910		0.131		0.022		2.580
6250		0.435		0.596		4.624		4.920		3.378		6.911		0.132		0.022		2.578
6251		0.435		0.602		4.622		4.916		3.413		6.920		0.132		0.022		2.604
6252		0.436		0.604		4.632		4.922		3.420		6.899		0.134		0.022		2.613
6261		0.436		0.502		4.626		4.918		2.841		6.912		0.110		0.015		2.169
6262		0.436		0.501		4.632		4.920		2.838		6.904		0.111		0.015		2.167
6263		0.436		0.499		4.626		4.922		2.825		6.904		0.111		0.015		2.158
6264		0.436		0.499		4.628		4.922		2.824		6.903		0.111		0.015		2.157
6265		0.435		0.499		4.623		4.921		2.823		6.911		0.110		0.015		2.155
6266		0.436		0.499		4.627		4.921		2.824		6.905		0.111		0.015		2.157
6267		0.436		0.499		4.626		4.921		2.824		6.908		0.110		0.015		2.157
6270		0.436		0.401		4.626		4.921		2.270		6.907		0.089		0.010		1.733
6271		0.436		0.401		4.626		4.922		2.270		6.905		0.089		0.010		1.734
6272		0.436		0.401		4.627		4.922		2.270		6.905		0.089		0.010		1.733
6273		0.436		0.401		4.628		4.922		2.269		6.904		0.089		0.010		1.733
6274		0.436		0.403		4.633		4.922		2.281		6.899		0.089		0.010		1.743
6275		0.436		0.403		4.628		4.921		2.281		6.906		0.089		0.010		1.742
6276		0.437		0.402		4.639		4.920		2.276		6.895		0.089		0.010		1.740
6288		0.525		0.701		4.601		5.905		3.277		5.086		0.163		0.033		2.930
6289		0.526		0.701		4.609		5.906		3.274		5.076		0.164		0.033		2.931
6290		0.525		0.689		4.596		5.908		3.218		5.085		0.163		0.032		2.878
6291		0.525		0.689		4.594		5.908		3.219		5.086		0.163		0.033		2.879
6292		0.525		0.592		4.591		5.908		2.763		5.089		0.141		0.024		2.471
6293		0.525		0.591		4.592		5.908		2.761		5.089		0.141		0.024		2.469
6294		0.522		0.597		4.580		5.896		2.796		5.124		0.143		0.024		2.490
6295		0.523		0.598		4.586		5.897		2.799		5.117		0.142		0.024		2.496
6296		0.524		0.599		4.595		5.901		2.799		5.100		0.142		0.025		2.499
6304		0.526		0.499		4.601		5.908		2.330		5.080		0.118		0.017		2.085
6305		0.523		0.499		4.590		5.898		2.333		5.110		0.119		0.017		2.081
6306		0.525		0.495		4.595		5.907		2.312		5.088		0.118		0.017		2.067
6307		0.525		0.496		4.592		5.908		2.312		5.089		0.119		0.017		2.067
6308		0.525		0.496		4.593		5.909		2.312		5.087		0.118		0.017		2.068
6309		0.527		0.690		4.603		5.913		3.217		5.069		0.163		0.032		2.883
6310		0.527		0.690		4.604		5.913		3.217		5.067		0.163		0.032		2.884
6311		0.528		0.708		4.617		5.909		3.305		5.062		0.166		0.033		2.963
6312		0.526		0.705		4.596		5.912		3.290		5.077		0.166		0.033		2.946
6317		0.525		0.599		4.599		5.904		2.798		5.089		0.142		0.024		2.502
6318		0.523		0.598		4.590		5.893		2.800		5.119		0.141		0.024		2.496
6322		0.525		0.591		4.594		5.909		2.761		5.086		0.141		0.024		2.469
6323		0.525		0.591		4.593		5.907		2.760		5.089		0.141		0.024		2.468
6325		0.525		0.497		4.593		5.905		2.322		5.093		0.119		0.017		2.075
6326		0.524		0.497		4.590		5.905		2.321		5.096		0.119		0.017		2.074
6327		0.525		0.498		4.591		5.906		2.323		5.093		0.119		0.017		2.076
6328		0.525		0.500		4.602		5.903		2.336		5.088		0.118		0.017		2.089
6329		0.524		0.500		4.594		5.901		2.338		5.100		0.120		0.018		2.088
6339		0.524		0.400		4.587		5.907		1.866		5.095		0.096		0.011		1.667
6340		0.525		0.401		4.591		5.907		1.867		5.092		0.096		0.011		1.669
6341		0.525		0.400		4.590		5.908		1.867		5.091		0.096		0.011		1.669
6342		0.525		0.400		4.594		5.907		1.866		5.088		0.096		0.011		1.669
6343		0.525		0.400		4.591		5.906		1.865		5.093		0.096		0.011		1.667
6344		0.524		0.400		4.589		5.906		1.865		5.096		0.096		0.011		1.666
6345		0.525		0.401		4.595		5.905		1.871		5.092		0.096		0.011		1.672
6346		0.523		0.400		4.590		5.892		1.869		5.121		0.096		0.011		1.665
6347		0.525		0.400		4.589		5.909		1.866		5.091		0.095		0.011		1.668
6348		0.525		0.399		4.592		5.907		1.861		5.092		0.096		0.011		1.663
6349		0.525		0.399		4.593		5.909		1.861		5.087		0.096		0.011		1.664
6350		0.525		0.399		4.592		5.908		1.861		5.090		0.095		0.011		1.664
6351		0.525		0.399		4.590		5.908		1.861		5.091		0.096		0.011		1.664
6352		0.523		0.399		4.588		5.898		1.865		5.111		0.095		0.011		1.663
6353		0.525		0.400		4.597		5.902		1.865		5.094		0.095		0.011		1.667
6354		0.525		0.400		4.598		5.903		1.868		5.092		0.095		0.011		1.670
6359		0.565		0.685		4.566		6.261		2.953		4.453		0.168		0.034		2.832
6360		0.565		0.685		4.563		6.262		2.952		4.453		0.168		0.034		2.831
6363		0.561		0.697		4.553		6.248		3.015		4.490		0.167		0.034		2.878
6364		0.565		0.696		4.577		6.257		3.006		4.450		0.167		0.034		2.880
6365		0.564		0.695		4.580		6.247		3.008		4.465		0.169		0.034		2.876
6367		0.565		0.588		4.566		6.260		2.534		4.454		0.146		0.025		2.431
6368		0.565		0.588		4.570		6.261		2.533		4.449		0.146		0.026		2.431
6370		0.565		0.588		4.567		6.263		2.534		4.449		0.145		0.025		2.432
6371		0.565		0.596		4.567		6.258		2.573		4.457		0.148		0.026		2.466
6372		0.566		0.596		4.576		6.260		2.573		4.444		0.145		0.025		2.469
6373		0.566		0.496		4.578		6.261		2.138		4.440		0.122		0.018		2.054
6374		0.567		0.498		4.577		6.267		2.144		4.431		0.123		0.018		2.063
6375		0.565		0.493		4.566		6.262		2.123		4.451		0.122		0.018		2.038
6376		0.565		0.493		4.566		6.262		2.123		4.451		0.123		0.018		2.038
6377		0.565		0.493		4.564		6.261		2.123		4.454		0.122		0.018		2.036
6378		0.565		0.397		4.567		6.262		1.708		4.450		0.099		0.012		1.639
6379		0.565		0.397		4.565		6.262		1.708		4.451		0.099		0.012		1.639
6380		0.565		0.397		4.565		6.263		1.708		4.450		0.099		0.012		1.639
6381		0.565		0.397		4.568		6.263		1.706		4.448		0.099		0.012		1.638
6382		0.566		0.398		4.576		6.258		1.713		4.448		0.098		0.012		1.644
6383		0.566		0.399		4.575		6.257		1.716		4.450		0.098		0.012		1.647
6385		0.567		0.705		4.581		6.263		3.040		4.434		0.172		0.036		2.921
6386		0.570		0.709		4.601		6.267		3.054		4.405		0.170		0.035		2.942
6387		0.567		0.686		4.578		6.269		2.955		4.425		0.168		0.034		2.844
6388		0.568		0.687		4.578		6.271		2.958		4.422		0.168		0.034		2.848
6389		0.567		0.702		4.587		6.261		3.027		4.431		0.168		0.034		2.908
6390		0.563		0.599		4.560		6.254		2.585		4.472		0.147		0.026		2.474
6391		0.567		0.601		4.580		6.260		2.591		4.440		0.151		0.027		2.489
6393		0.566		0.590		4.565		6.266		2.543		4.443		0.146		0.026		2.443
6394		0.565		0.590		4.567		6.262		2.541		4.450		0.146		0.026		2.439
6395		0.565		0.589		4.569		6.262		2.541		4.448		0.146		0.026		2.439
6396		0.565		0.589		4.566		6.262		2.541		4.451		0.146		0.026		2.438
6397		0.568		0.687		4.580		6.270		2.956		4.422		0.168		0.034		2.846
6399		0.565		0.494		4.563		6.265		2.127		4.448		0.123		0.018		2.041
6400		0.564		0.493		4.559		6.257		2.126		4.467		0.123		0.018		2.037
6401		0.567		0.496		4.573		6.269		2.132		4.430		0.123		0.018		2.052
6402		0.565		0.494		4.567		6.262		2.127		4.450		0.123		0.018		2.042
6403		0.564		0.494		4.562		6.259		2.129		4.461		0.123		0.018		2.040
6404		0.565		0.494		4.567		6.260		2.128		4.454		0.123		0.018		2.041
6405		0.564		0.497		4.567		6.251		2.146		4.470		0.123		0.018		2.054
6406		0.566		0.498		4.574		6.260		2.147		4.448		0.124		0.018		2.060
6407		0.567		0.398		4.581		6.259		1.715		4.441		0.099		0.012		1.648
6408		0.566		0.399		4.574		6.260		1.717		4.446		0.099		0.012		1.648
6411		0.565		0.398		4.564		6.262		1.713		4.453		0.099		0.012		1.643
6412		0.565		0.398		4.565		6.259		1.714		4.457		0.099		0.012		1.643
6413		0.564		0.398		4.564		6.259		1.714		4.458		0.099		0.012		1.643
6415		0.565		0.398		4.569		6.261		1.714		4.449		0.099		0.012		1.645
6416		0.564		0.398		4.562		6.258		1.713		4.461		0.099		0.012		1.641
6417		0.565		0.398		4.564		6.259		1.714		4.458		0.100		0.012		1.644
6419		0.483		0.691		4.864		5.212		3.709		6.123		0.156		0.030		3.014
6421		0.483		0.691		4.864		5.213		3.711		6.121		0.155		0.030		3.015
6422		0.483		0.691		4.865		5.213		3.711		6.120		0.155		0.030		3.016
6423		0.481		0.707		4.857		5.200		3.804		6.152		0.158		0.030		3.084
6425		0.485		0.710		4.878		5.217		3.810		6.100		0.155		0.030		3.102
6426		0.486		0.708		4.890		5.215		3.803		6.091		0.155		0.030		3.097
6427		0.483		0.602		4.872		5.203		3.239		6.132		0.134		0.022		2.629
6428		0.482		0.601		4.865		5.202		3.235		6.140		0.136		0.023		2.625
6429		0.483		0.594		4.860		5.210		3.192		6.131		0.134		0.022		2.591
6430		0.483		0.594		4.860		5.209		3.192		6.132		0.134		0.022		2.591
6431		0.483		0.594		4.860		5.210		3.193		6.130		0.134		0.022		2.592
6432		0.483		0.595		4.860		5.211		3.196		6.129		0.135		0.023		2.595
6433		0.483		0.596		4.861		5.208		3.204		6.133		0.135		0.023		2.601
6434		0.482		0.498		4.858		5.210		2.677		6.134		0.113		0.016		2.173
6435		0.482		0.499		4.858		5.209		2.680		6.135		0.113		0.016		2.175
6436		0.482		0.499		4.857		5.210		2.678		6.133		0.113		0.016		2.174
6439		0.482		0.501		4.854		5.208		2.693		6.140		0.110		0.015		2.183
