15.000	0.594	5.5430	0.175	0	0	0.000	0.000	0.0000	0	0	0	0.000	0.000	0	0
15.000	0.594	5.5430	0.225	0	0	0.000	0.000	0.0000	0	0	0	0.000	0.000	0	0
15.000	0.594	5.5430	0.275	0	0	0.000	0.000	0.0000	0	0	0	0.000	0.000	0	0
15.000	0.594	5.5430	0.325	0	0	0.000	0.000	0.0000	0	0	0	0.000	0.000	0	0
15.000	0.594	5.5430	0.375	0.523	0.503	0.033	0.472	0.4570	0.009	0.254	0.241	0.015	0.319	0.303	0.0108
15.000	0.594	5.5430	0.425	0.494	0.47	0.015	0.417	0.4020	0.0031	0.234	0.221	0.007	0.285	0.27	0.0045
15.000	0.594	5.5430	0.475	0.388	0.361	0.010	0.335	0.3180	0.0022	0.183	0.17	0.004	0.218	0.2	0.003
15.000	0.594	5.5430	0.525	0.323	0.294	0.009	0.281	0.2630	0.0018	0.15	0.137	0.004	0.187	0.168	0.0026
15.000	0.594	5.5430	0.575	0.241	0.213	0.007	0.228	0.2100	0.0016	0.122	0.107	0.003	0.143	0.125	0.0022
15.000	0.594	5.5430	0.625	0.18	0.143	0.007	0.164	0.1450	0.0015	0.108	0.093	0.003	0.107	0.088	0.0021
15.000	0.594	5.5430	0.675	0	0	0.000	0.000	0.0000	0	0	0	0.000	0.000	0	0
15.000	0.594	5.5430	0.725	0	0	0.000	0.000	0.0000	0	0	0	0.000	0.000	0	0
15.000	0.594	5.5430	0.775	0	0	0.000	0.000	0.0000	0	0	0	0.000	0.000	0	0
15.000	0.594	5.5430	0.825	0	0	0.000	0.000	0.0000	0	0	0	0.000	0.000	0	0
15.000	0.594	5.5430	0.875	0	0	0.000	0.000	0.0000	0	0	0	0.000	0.000	0	0
