7.000	0.549	4.7600	0.175	0	0	0.000	0.000	0.0000	0	0	0	0.000	0.000	0	0
7.000	0.549	4.7600	0.225	0	0	0.000	0.000	0.0000	0	0	0	0.000	0.000	0	0
7.000	0.549	4.7600	0.275	0	0	0.000	0.000	0.0000	0	0	0	0.000	0.000	0	0
7.000	0.549	4.7600	0.325	0.945	0.918	0.026	0.798	0.7830	0.0098	0.501	0.49	0.015	0.593	0.577	0.0171
7.000	0.549	4.7600	0.375	0.751	0.719	0.009	0.639	0.6230	0.0031	0.371	0.357	0.005	0.468	0.451	0.0057
7.000	0.549	4.7600	0.425	0.556	0.524	0.006	0.472	0.4560	0.002	0.278	0.264	0.003	0.340	0.325	0.0036
7.000	0.549	4.7600	0.475	0.441	0.408	0.005	0.393	0.3720	0.0018	0.217	0.202	0.003	0.285	0.264	0.0031
7.000	0.549	4.7600	0.525	0.357	0.325	0.005	0.306	0.2890	0.0014	0.179	0.166	0.002	0.206	0.189	0.0024
7.000	0.549	4.7600	0.575	0.263	0.231	0.004	0.243	0.2250	0.0012	0.148	0.134	0.002	0.158	0.139	0.0021
7.000	0.549	4.7600	0.625	0.2	0.163	0.004	0.186	0.1680	0.0011	0.123	0.109	0.002	0.127	0.109	0.0019
7.000	0.549	4.7600	0.675	0.129	0.096	0.005	0.150	0.1310	0.0017	0.103	0.089	0.003	0.104	0.084	0.0028
7.000	0.549	4.7600	0.725	0	0	0.000	0.000	0.0000	0	0.14	0.124	0.012	0.090	0.059	0.0108
7.000	0.549	4.7600	0.775	0	0	0.000	0.000	0.0000	0	0	0	0.000	0.000	0	0
7.000	0.549	4.7600	0.825	0	0	0.000	0.000	0.0000	0	0	0	0.000	0.000	0	0
7.000	0.549	4.7600	0.875	0	0	0.000	0.000	0.0000	0	0	0	0.000	0.000	0	0
